CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
15115,CSC 101-01,Intro to Computer Concepts,3,Jeffrey N. Whitworth,08-JAN-2018 to 25-APR-2018,M,1700-1815,.SI,0,25,25,computer science,
16542,CSC 110-01,Computational Problem Solving,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.GMT,15,28,13,computer science,
15051,CSC 130-01,Intro to Computer Science,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,none,1,38,37,computer science,['MAT150']
15053,CSC 130-02,Intro to Computer Science,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,none,6,38,32,computer science,['MAT150']
15055,CSC 130-03,Intro to Computer Science,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,none,5,38,33,computer science,['MAT150']
15056,CSC 230-01,Elem Data Struc / Algorithms,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,3,35,32,computer science,['CSC130']
15057,CSC 230-02,Elem Data Struc / Algorithms,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1230-1345,none,2,35,33,computer science,['CSC130']
15058,CSC 230-03,Elem Data Struc / Algorithms,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,20,35,15,computer science,['CSC130']
15061,CSC 250-01,Foundations of Comp Science I,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1530-1645,none,0,35,35,computer science,['CSC130']
15070,CSC 250-02,Foundations of Comp Science I,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1730-1845,none,22,35,13,computer science,['CSC130']
15071,CSC 250-03,Foundations of Comp Science I,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,-1,28,29,computer science,['CSC130']
15074,CSC 261-01,Computr Org / Assembly Languag,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,3,40,37,computer science,"['CSC250', 'CSC230']"
10449,CSC 330-01,Advanced Data Structures,3,Prashanti Manda,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,5,35,30,computer science,"['CSC250', 'CSC230']"
15085,CSC 339-01,Concepts of Progrming Languags,3,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,12,28,16,computer science,['CSC330']
15086,CSC 339-02,Concepts of Progrming Languags,3,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1230-1345,none,0,28,28,computer science,['CSC330']
15093,CSC 340-01,Software Engineering,3,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,T R,0930-1045,.WI,2,25,23,computer science,['CSC330']
15096,CSC 340-02,Software Engineering,3,Richard I. Quigley,08-JAN-2018 to 25-APR-2018,M W,1730-1845,.WI,11,25,14,computer science,['CSC330']
15101,CSC 350-01,Foundations of Comp Science II,3,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,none,19,28,9,computer science,['CSC250']
15102,CSC 350-02,Foundations of Comp Science II,3,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,none,8,28,20,computer science,['CSC250']
15120,CSC 471-01,Principles of Database Systems,3,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1730-1845,none,1,35,34,computer science,['CSC330']
10450,CSC 490-01,Senior Capstone,3,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,M W,1530-1645,.SI.WI,7,25,18,computer science,['senior']
17299,CSC 490-02,Senior Capstone,3,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,M W,1530-1645,.SI.WI,4,22,18,computer science,['senior']
15695,CSC 493-01,Honors Work in CSC,3,,08-JAN-2018 to 25-APR-2018,,,.HSS,0,1,1,computer science,['CSC350']
15129,CSC 495-01,Topics: Intro to Graphics,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,0930-1045,none,12,35,23,computer science,['CSC350']
16543,CSC 510-01,Big Data and Machine Learning,3,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,-2,35,37,computer science,"['CSC330', 'MAT191']"
16930,CSC 523-01,Numericl Analysis / Computing,3,Thomas L. Lewis,01-MAR-2018 to 30-APR-2018,M W F,1000-1050,none,6,10,4,computer science,"['CSC130', 'CSC350', 'MAT293']"
15139,CSC 526-01,Bioinformatics,3,Prashanti Manda,08-JAN-2018 to 25-APR-2018,M W,1230-1345,none,12,35,23,computer science,['CSC350']
10451,CSC 529-01,Artificial Intelligence,3,Nancy L. Green,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,1,35,34,computer science,"['CSC330', 'CSC350']"
16544,CSC 540-01,Human-Computer Interface Dev,3,Nancy L. Green,08-JAN-2018 to 25-APR-2018,T R,1230-1345,none,2,35,33,computer science,['CSC340']
15153,CSC 553-01,Theory of Computation,3,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,none,0,35,35,computer science,['CSC350']
15264,CSC 562-01,Prin of Operating Systems,3,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,M W,1100-1215,none,1,45,44,computer science,"['CSC261', 'CSC340']"
15160,CSC 580-01,"Cryptogrphy, Security in Comp",3,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,15,35,20,computer science,"['CSC330', 'CSC562']"
15391,CSC 593-01,Directed Study in Computer Sci,1,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,computer science,['CSC350']
15398,CSC 593-02,Directed Study in Computer Sci,1,Jing Deng,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15401,CSC 593-03,Directed Study in Computer Sci,1,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15404,CSC 593-04,Directed Study in Computer Sci,1,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15407,CSC 593-05,Directed Study in Computer Sci,1,Prashanti Manda,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15410,CSC 593-06,Directed Study in Computer Sci,1,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15414,CSC 593-07,Directed Study in Computer Sci,1,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15418,CSC 593-08,Directed Study in Computer Sci,1,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
15421,CSC 593-09,Directed Study in Computer Sci,1,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,['CSC350']
17447,CSC 594-01,Directed Study in Computer Sci,1,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,none,4,5,1,computer science,['CSC350']
17507,CSC 594-02,Directed Study in Computer Sci,1,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,computer science,['CSC350']
15166,CSC 653-01,Advanced Theory of Computation,3,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,none,9,25,16,computer science,
15170,CSC 671-01,Advanced Database Systems,3,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,10,25,15,computer science,
17180,CSC 697-01,Research Problems Computer Sci,3,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,1,3,2,computer science,
17523,CSC 697-03,Research Problems Computer Sci,3,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,computer science,
15394,CSC 698-01,Project in Computer Science,3,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15399,CSC 698-02,Project in Computer Science,3,Jing Deng,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15402,CSC 698-03,Project in Computer Science,3,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15405,CSC 698-04,Project in Computer Science,3,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15408,CSC 698-05,Project in Computer Science,3,Prashanti Manda,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15412,CSC 698-06,Project in Computer Science,3,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,computer science,
15416,CSC 698-07,Project in Computer Science,3,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,computer science,
15419,CSC 698-08,Project in Computer Science,3,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,-2,2,4,computer science,
15422,CSC 698-09,Project in Computer Science,3,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15397,CSC 699-01,Thesis,1,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15400,CSC 699-02,Thesis,1,Jing Deng,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,computer science,
15403,CSC 699-03,Thesis,1,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15406,CSC 699-04,Thesis,1,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15409,CSC 699-05,Thesis,1,Prashanti Manda,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15413,CSC 699-06,Thesis,1,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15417,CSC 699-07,Thesis,1,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
15420,CSC 699-08,Thesis,1,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,computer science,
15423,CSC 699-09,Thesis,1,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,computer science,
14389,CSC 801-01,Thesis Extension,1,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,computer science,
15929,CSC 803-01,Research Extension,1,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,computer science,
17280,CSC 803-02,Research Extension,1,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,none,-1,1,2,computer science,
17389,CSC 803-03,Research Extension,1,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,computer science,
17493,CSC 803-04,Research Extension,1,Jing Deng,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,computer science,
15216,BIO 105-01,Major Concepts Biology,3,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,0,115,115,biology,
15653,BIO 105-01D,Major Concepts Biology,3,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,-8,0,8,biology,
11379,BIO 105-02,Major Concepts Biology,3,Ann B. Somers,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,.GLS.GNS.SUS,56,295,239,biology,
11380,BIO 105-03,Major Concepts Biology,3,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T R,1700-1815,.GLS.GNS.SUS,45,175,130,biology,
15126,BIO 105-81D,Major Concepts Biology,3,Malcolm D. Schug,09-DEC-2017 to 18-JAN-2018,,,.GLS.GNS.SUS,5,80,75,biology,
11381,BIO 105L-01,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,0900-1150,.GLS.GNS.SUS,0,24,24,biology,
11382,BIO 105L-02,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1200-1450,.GLS.GNS.SUS,0,24,24,biology,
11383,BIO 105L-03,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1500-1750,.GLS.GNS.SUS,0,24,24,biology,
11384,BIO 105L-04,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1800-2050,.GLS.GNS.SUS,1,24,23,biology,
11385,BIO 105L-05,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,0930-1220,.GLS.GNS.SUS,0,24,24,biology,
11386,BIO 105L-06,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1230-1520,.GLS.GNS.SUS,1,24,23,biology,
11387,BIO 105L-07,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1530-1820,.GLS.GNS.SUS,0,24,24,biology,
11388,BIO 105L-08,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1830-2120,.GLS.GNS.SUS,0,24,24,biology,
11389,BIO 105L-09,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,0900-1150,.GLS.GNS.SUS,0,24,24,biology,
14189,BIO 105L-10,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,1200-1450,.GLS.GNS.SUS,0,24,24,biology,
14190,BIO 105L-11,Major Concepts in Bio Lab,1,Julia Loreth,08-JAN-2018 to 25-APR-2018,W,1500-1750,.GLS.GNS.SUS,1,24,23,biology,
14191,BIO 105L-12,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,1800-2050,.GLS.GNS.SUS,0,24,24,biology,
14193,BIO 105L-13,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,R,0930-1220,.GLS.GNS.SUS,0,24,24,biology,
14194,BIO 105L-14,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,R,1230-1520,.GLS.GNS.SUS,0,24,24,biology,
15222,BIO 105L-15,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,R,1530-1820,.GLS.GNS.SUS,2,24,22,biology,
15322,BIO 105L-16,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,0,9,9,biology,
15225,BIO 105L-16D,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,-1,10,11,biology,
15226,BIO 105L-17,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,0,10,10,biology,
15227,BIO 105L-17D,Major Concepts in Bio Lab,1,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,0,10,10,biology,
15229,BIO 105L-18,Major Concepts in Bio Lab,1,Austin N. Craven,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,0,10,10,biology,
15537,BIO 105L-18D,Major Concepts in Bio Lab,1,Austin N. Craven,08-JAN-2018 to 25-APR-2018,,,.GLS.GNS.SUS,4,10,6,biology,
11390,BIO 111-01,Principles of Biology I,4,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.ENV.GLS.GNS.SUS,10,192,182,biology,
11391,BIO 111-02,Principles of Biology I,4,Julia Loreth,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,.ENV.GLS.GNS.SUS,13,192,179,biology,
11392,BIO 111-03,Principles of Biology I,4,Margaret L. Horton,08-JAN-2018 to 25-APR-2018,T R,1800-1915,.ENV.GLS.GNS.SUS,74,180,106,biology,
14848,BIO 111-04,Principles of Biology I,4,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,M W,1400-1515,.ENV.GLS.GNS.SUS,7,180,173,biology,
11393,BIO 111L-01,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0900-1150,.ENV,0,24,24,biology,
11394,BIO 111L-02,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0930-1220,.ENV,1,24,23,biology,
11395,BIO 111L-03,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1200-1450,.ENV,0,24,24,biology,
11396,BIO 111L-04,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1230-1520,.ENV,0,24,24,biology,
11397,BIO 111L-05,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1500-1750,.ENV,1,24,23,biology,
11398,BIO 111L-06,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1530-1820,.ENV,1,24,23,biology,
11399,BIO 111L-07,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1800-2050,.ENV,2,24,22,biology,
11400,BIO 111L-08,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1830-2120,.ENV,2,24,22,biology,
11401,BIO 111L-09,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0900-1150,.ENV,0,24,24,biology,
11402,BIO 111L-10,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0930-1220,.ENV,1,24,23,biology,
11403,BIO 111L-11,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1200-1450,.ENV,0,24,24,biology,
11404,BIO 111L-12,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1230-1520,.ENV,1,24,23,biology,
11405,BIO 111L-13,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1500-1750,.ENV,0,24,24,biology,
11406,BIO 111L-14,Princpls of Biology I Lab,0,Julia Loreth,08-JAN-2018 to 25-APR-2018,T,1530-1820,.ENV,1,24,23,biology,
11407,BIO 111L-15,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1800-2050,.ENV,0,24,24,biology,
14472,BIO 111L-16,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1830-2120,.ENV,19,24,5,biology,
14856,BIO 111L-17,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0900-1150,.ENV,2,24,22,biology,
14857,BIO 111L-18,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0930-1220,.ENV,0,24,24,biology,
14858,BIO 111L-19,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1200-1450,.ENV,0,24,24,biology,
14859,BIO 111L-20,Princpls of Biology I Lab,0,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,W,1500-1750,.ENV,1,24,23,biology,
14860,BIO 111L-21,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1800-2050,.ENV,3,24,21,biology,
14861,BIO 111L-22,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1830-2120,.ENV,0,24,24,biology,
14862,BIO 111L-23,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0900-1150,.ENV,0,24,24,biology,
14863,BIO 111L-24,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0930-1220,.ENV,1,24,23,biology,
14864,BIO 111L-25,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1200-1450,.ENV,1,24,23,biology,
14865,BIO 111L-26,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1230-1520,.ENV,0,24,24,biology,
14866,BIO 111L-27,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1500-1750,.ENV,1,24,23,biology,
14867,BIO 111L-28,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1530-1820,.ENV,1,24,23,biology,
14868,BIO 111L-29,Princpls of Biology I Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,.ENV,18,24,6,biology,
11414,BIO 112-02,Principles of Biology II,4,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,.ENV.GLS.GNS,42,225,183,biology,
11415,BIO 112-03,Principles of Biology II,4,John J. Lepri,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,.ENV.GLS.GNS.HSS,12,24,12,biology,
16439,BIO 112-04,Principles of Biology II,4,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,T R,0800-0915,.ENV.GLS.GNS,20,95,75,biology,
11416,BIO 112L-01,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0930-1220,none,14,24,10,biology,
11417,BIO 112L-02,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1200-1450,none,-1,24,25,biology,
11430,BIO 112L-03,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1230-1520,none,0,24,24,biology,
11418,BIO 112L-04,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1500-1750,none,4,24,20,biology,
11419,BIO 112L-05,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1530-1820,none,10,24,14,biology,
11421,BIO 112L-06,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0930-1220,none,0,24,24,biology,
11422,BIO 112L-07,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1230-1520,none,1,24,23,biology,
11423,BIO 112L-08,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1530-1820,none,-1,24,25,biology,
11424,BIO 112L-09,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1830-2120,none,17,24,7,biology,
11429,BIO 112L-10,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0900-1150,none,16,24,8,biology,
11425,BIO 112L-11,Princpls of Biology II Lab,0,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,W,1500-1750,none,10,24,14,biology,
11426,BIO 112L-12,Princpls of Biology II Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,0930-1220,none,2,24,22,biology,
11427,BIO 112L-13,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0900-1150,none,7,24,17,biology,
11428,BIO 112L-14,Princpls of Biology II Lab,0,Margaret L. Horton,08-JAN-2018 to 25-APR-2018,R,1230-1520,none,0,24,24,biology,
13795,BIO 112L-15,Princpls of Biology II Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,none,11,24,13,biology,
11433,BIO 271-01,Human Anatomy,4,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,none,5,288,283,biology,
11434,BIO 271L-01,Human Anatomy Lab,0,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,M,1230-1520,none,0,24,24,biology,
11435,BIO 271L-02,Human Anatomy Lab,0,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,M,1400-1650,none,0,24,24,biology,
11436,BIO 271L-03,Human Anatomy Lab,0,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,T,0900-1150,none,1,24,23,biology,
11437,BIO 271L-04,Human Anatomy Lab,0,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,T,0900-1150,none,2,24,22,biology,
11438,BIO 271L-05,Human Anatomy Lab,0,Ann B. Somers,08-JAN-2018 to 25-APR-2018,T,1230-1520,none,0,24,24,biology,
11808,BIO 271L-06,Human Anatomy Lab,0,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,T,1400-1650,none,0,24,24,biology,
11439,BIO 271L-07,Human Anatomy Lab,0,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,W,1230-1520,none,0,24,24,biology,
11440,BIO 271L-08,Human Anatomy Lab,0,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,W,1400-1650,none,0,24,24,biology,
11441,BIO 271L-09,Human Anatomy Lab,0,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,R,0900-1150,none,0,24,24,biology,
11442,BIO 271L-10,Human Anatomy Lab,0,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,R,0900-1150,none,2,24,22,biology,
11443,BIO 271L-11,Human Anatomy Lab,0,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,T,1530-1820,none,0,24,24,biology,
13304,BIO 271L-12,Human Anatomy Lab,0,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,M,1530-1820,none,0,24,24,biology,
11444,BIO 277-01,Human Physiology,4,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.ENV,49,288,239,biology,
11445,BIO 277L-01,Human Physiology Lab,0,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,T,0930-1220,none,3,24,21,biology,
11446,BIO 277L-02,Human Physiology Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,1300-1550,none,0,24,24,biology,
11447,BIO 277L-03,Human Physiology Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,1630-1920,none,9,24,15,biology,
11448,BIO 277L-04,Human Physiology Lab,0,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,W,0930-1220,none,1,24,23,biology,
11449,BIO 277L-05,Human Physiology Lab,0,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,W,0930-1220,none,0,24,24,biology,
11450,BIO 277L-06,Human Physiology Lab,0,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,W,1300-1550,none,2,24,22,biology,
11452,BIO 277L-07,Human Physiology Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,1300-1550,none,3,24,21,biology,
11453,BIO 277L-08,Human Physiology Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,0930-1220,none,5,24,19,biology,
11454,BIO 277L-09,Human Physiology Lab,0,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,R,0930-1220,none,6,24,18,biology,
11455,BIO 277L-10,Human Physiology Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,W,1300-1550,none,3,24,21,biology,
11456,BIO 277L-11,Human Physiology Lab,0,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,T,1300-1550,none,8,24,16,biology,
11457,BIO 277L-12,Human Physiology Lab,0,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,0930-1220,none,9,24,15,biology,
11458,BIO 280-01,Fundamentals in Microbiology,4,Roberta G. Maxwell,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,0,192,192,biology,
11459,BIO 280L-01,Fundmntls of Microbiology Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M W,0900-1050,none,0,24,24,biology,
11460,BIO 280L-02,Fundmntls of Microbiology Lab,0,Roberta G. Maxwell,08-JAN-2018 to 25-APR-2018,M W,1100-1250,none,0,24,24,biology,
11461,BIO 280L-03,Fundmntls of Microbiology Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M W,1300-1450,none,-1,24,25,biology,
