CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
10459,MAT 115-07,College Algebra,3,Aaron F. Rapp,08-JAN-2018 to 25-APR-2018,T R,0930-1045,.GMT,-1,50,51,math,
10460,MAT 115-08,College Algebra,3,Keri N. Spetzer,08-JAN-2018 to 25-APR-2018,T R,1530-1645,.GMT,1,50,49,math,
10461,MAT 115-09,College Algebra,3,Elliott Z. Hollifield,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.GMT,-1,50,51,math,
10462,MAT 115-10,College Algebra,3,Amila K. Muthunayake,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,.GMT,2,50,48,math,
10463,MAT 115-11,College Algebra,3,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,W,0900-0950,.GMT,2,50,48,math,
10464,MAT 115-12,College Algebra,3,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,W,1000-1050,.GMT,3,50,47,math,
15232,MAT 115-13,College Algebra,3,Gampola Waduge Nalin Fonseka,08-JAN-2018 to 25-APR-2018,,,.GMT,10,113,103,math,
14425,MAT 115-13D,College Algebra,3,Gampola Waduge Nalin Fonseka,08-JAN-2018 to 25-APR-2018,,,.GMT,-12,0,12,math,
15851,MAT 115-14,College Algebra,3,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,,,.GMT,4,107,103,math,
15859,MAT 115-14D,College Algebra,3,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,,,.GMT,-18,0,18,math,
15511,MAT 115-81D,College Algebra,3,Dan Yasaki,09-DEC-2017 to 18-JAN-2018,,,.GMT,13,90,77,math,
10465,MAT 120-01,Calculus w/ Business Applictns,3,James E. Rudzinski,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.GMT,0,50,50,math,
10466,MAT 120-02,Calculus w/ Business Applictns,3,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,T R,0800-0915,.GMT,0,50,50,math,
13013,MAT 120-03,Calculus w/ Business Applictns,3,Jan Rychtar,08-JAN-2018 to 25-APR-2018,,,.GMT,-1,111,112,math,
14520,MAT 120-03D,Calculus w/ Business Applictns,3,Jan Rychtar,08-JAN-2018 to 25-APR-2018,,,.GMT,-24,0,24,math,
15852,MAT 120-04,Calculus w/ Business Applictns,3,Jan Rychtar,08-JAN-2018 to 25-APR-2018,,,.GMT,2,113,111,math,
15512,MAT 120-81D,Calculus w/ Business Applictns,3,Maya Chhetri,09-DEC-2017 to 18-JAN-2018,,,.GMT,5,90,85,math,
10467,MAT 150-01,Precalculus I,3,Qi Zhang,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.GMT,0,50,50,math,
10468,MAT 150-02,Precalculus I,3,S M Niroshani S. Seneviratne,08-JAN-2018 to 25-APR-2018,T R,0800-0915,.GMT,0,50,50,math,
10469,MAT 150-03,Precalculus I,3,Qi Zhang,08-JAN-2018 to 25-APR-2018,T,0900-0950,.GMT,7,50,43,math,
10470,MAT 150-04,Precalculus I,3,Qi Zhang,08-JAN-2018 to 25-APR-2018,T,1000-1050,.GMT,2,50,48,math,
10471,MAT 150-05,Precalculus I,3,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,,,.GMT,18,125,107,math,
